Model,Accuracy,Precision (macro),Precision (weighted),Recall (macro),Recall (weighted),F1 (macro),F1 (weighted),Avg. Time/video
svw_gemma-3-4b-it_basic,0.7890,0.7616,0.8022,0.7478,0.7890,0.7166,0.7584,2.0631 ±0.0072
svw_gemma-3-4b-it_cot,0.8197,0.8059,0.8429,0.7857,0.8197,0.7752,0.8114,5.6059 ±0.1291
svw_gemma-3-4b-it_fewshot,0.8000,0.8129,0.8256,0.7880,0.8000,0.7619,0.7772,2.3218 ±0.0070
svw_gemma-3-4b-it_zero_shot,0.7961,0.7607,0.8026,0.7567,0.7961,0.7339,0.7753,2.0700 ±0.0070
svw_InternVL3-2B_basic,0.8134,0.8013,0.8395,0.7776,0.8134,0.7680,0.8050,0.4984 ±0.0059
svw_InternVL3-2B_cot,0.8110,0.7797,0.8180,0.7794,0.8110,0.7592,0.7952,0.5466 ±0.0074
svw_InternVL3-2B_fewshot_2B,0.7780,0.7979,0.8382,0.7513,0.7780,0.7375,0.7715,0.4731 ±0.0049
svw_InternVL3-2B_zero_shot,0.7559,0.7540,0.7961,0.7223,0.7559,0.7077,0.7452,0.5036 ±0.0059
svw_InternVL3-8B_basic,0.8835,0.8639,0.8969,0.8555,0.8835,0.8548,0.8843,0.8472 ±0.0059
svw_InternVL3-8B_cot,0.8630,0.8672,0.9018,0.8353,0.8630,0.8482,0.8792,4.5255 ±0.0739
svw_InternVL3-8B_fewshot,0.8709,0.8628,0.8984,0.8416,0.8709,0.8357,0.8672,0.9028 ±0.0048
svw_InternVL3-8B_zero_shot,0.8724,0.8646,0.8988,0.8438,0.8724,0.8414,0.8724,0.8630 ±0.0060
svw_Qwen2.5-VL-3B-Instruct_basic,0.7559,0.8171,0.8330,0.7584,0.7559,0.7482,0.7564,0.4868 ±0.0172
svw_Qwen2.5-VL-3B-Instruct_cot,0.7787,0.7657,0.8014,0.7521,0.7787,0.7317,0.7635,0.6822 ±0.0175
svw_Qwen2.5-VL-3B-Instruct_fewshot,0.7827,0.7999,0.8097,0.7860,0.7827,0.7631,0.7680,0.5827 ±0.0172
svw_Qwen2.5-VL-3B-Instruct_zero_shot,0.7630,0.7989,0.8390,0.7413,0.7630,0.7347,0.7654,0.4915 ±0.0171
svw_Qwen2.5-VL-7B-Instruct_basic,0.8472,0.8660,0.8764,0.8519,0.8472,0.8365,0.8400,0.5404 ±0.0194
svw_Qwen2.5-VL-7B-Instruct_cot,0.8488,0.8216,0.8583,0.8203,0.8488,0.8132,0.8461,0.9428 ±0.0200
svw_Qwen2.5-VL-7B-Instruct_fewshot,0.8425,0.8285,0.8667,0.8143,0.8425,0.8018,0.8349,0.7386 ±0.0198
svw_Qwen2.5-VL-7B-Instruct_zero_shot,0.8559,0.8508,0.8609,0.8570,0.8559,0.8473,0.8521,0.5498 ±0.0193
svw_Video-LLaVA-7B-hf_basic,0.3488,0.6045,0.6593,0.3210,0.3488,0.3567,0.3891,0.6618 ±0.0060
svw_Video-LLaVA-7B-hf_cot,0.2434,0.8818,0.9220,0.2732,0.2434,0.3990,0.3651,10.7802 ±0.1591
svw_Video-LLaVA-7B-hf_fewshot,0.0821,0.7642,0.7961,0.0856,0.0821,0.1458,0.1401,1.4147 ±0.0063
svw_Video-LLaVA-7B-hf_zero_shot,0.0546,0.2680,0.3004,0.0539,0.0546,0.0704,0.0749,0.9961 ±0.0069
ucf_gemma-3-4b-it_basic,0.6643,0.5823,0.6348,0.6475,0.6643,0.5845,0.6283,2.7902 ±0.0902
ucf_gemma-3-4b-it_cot,0.6643,0.6395,0.6819,0.6497,0.6643,0.6087,0.6362,5.5984 ±0.3757
ucf_gemma-3-4b-it_fewshot,0.6713,0.7760,0.7727,0.7309,0.6713,0.6790,0.6233,2.8983 ±0.0898
ucf_gemma-3-4b-it_zero_shot,0.6713,0.6027,0.6122,0.7197,0.6713,0.6245,0.6151,2.7903 ±0.0899
ucf_InternVL3-2B_basic,0.8042,0.8003,0.8380,0.8116,0.8042,0.7745,0.7959,0.4150 ±0.0102
ucf_InternVL3-2B_cot,0.6713,0.7156,0.8046,0.6043,0.6713,0.6152,0.6937,0.4608 ±0.0662
ucf_InternVL3-2B_fewshot_2B,0.8462,0.7957,0.8749,0.7896,0.8462,0.7845,0.8517,0.3661 ±0.0094
ucf_InternVL3-2B_zero_shot,0.7902,0.7288,0.8348,0.7303,0.7902,0.6992,0.7858,0.4211 ±0.0099
ucf_InternVL3-8B_basic,0.8252,0.7392,0.8109,0.7620,0.8252,0.7426,0.8104,0.7617 ±0.0108
ucf_InternVL3-8B_cot,0.7972,0.7288,0.7999,0.7438,0.7972,0.7319,0.7954,3.8361 ±0.1271
ucf_InternVL3-8B_fewshot,0.8531,0.7825,0.8533,0.7924,0.8531,0.7851,0.8513,0.6878 ±0.0095
ucf_InternVL3-8B_zero_shot,0.8392,0.8278,0.8293,0.8455,0.8392,0.8152,0.8156,0.7757 ±0.0095
ucf_Qwen2.5-VL-3B-Instruct_basic,0.8071,0.8085,0.8671,0.8535,0.8071,0.7710,0.7726,0.4931 ±0.0321
ucf_Qwen2.5-VL-3B-Instruct_cot,0.8786,0.8981,0.9004,0.8779,0.8786,0.8623,0.8675,0.5700 ±0.0307
ucf_Qwen2.5-VL-3B-Instruct_fewshot,0.8000,0.8062,0.8549,0.8350,0.8000,0.7809,0.7891,0.5288 ±0.0314
ucf_Qwen2.5-VL-3B-Instruct_zero_shot,0.8143,0.8366,0.8549,0.8262,0.8143,0.7793,0.7916,0.4982 ±0.0311
ucf_Qwen2.5-VL-7B-Instruct_basic,0.8143,0.7598,0.7555,0.8578,0.8143,0.7867,0.7722,0.5388 ±0.0353
ucf_Qwen2.5-VL-7B-Instruct_cot,0.8500,0.7862,0.7952,0.8505,0.8500,0.8109,0.8168,0.7073 ±0.0361
ucf_Qwen2.5-VL-7B-Instruct_fewshot,0.8429,0.7823,0.7873,0.8459,0.8429,0.8087,0.8099,0.6246 ±0.0352
ucf_Qwen2.5-VL-7B-Instruct_zero_shot,0.8643,0.8821,0.8999,0.8712,0.8643,0.8452,0.8596,0.5522 ±0.0353
ucf_Video-LLaVA-7B-hf_basic,0.1958,0.4344,0.4976,0.2107,0.1958,0.1865,0.2145,0.5785 ±0.0192
ucf_Video-LLaVA-7B-hf_cot,0.0183,0.0400,0.0147,0.0500,0.0183,0.0444,0.0163,9.2418 ±0.3810
ucf_Video-LLaVA-7B-hf_fewshot,0.0222,0.0455,0.0222,0.0455,0.0222,0.0455,0.0222,1.0368 ±0.0334
ucf_Video-LLaVA-7B-hf_zero_shot,0.0699,0.1956,0.2241,0.1181,0.0699,0.0469,0.0392,0.7883 ±0.0368
